Fecha,Mes,Maquina,Pacas producidas,Horas trabajadas,Tiempo de Paro,Turno INICIO,Turno FINAL
2023-05-11 00:00:00.000,"mayo","Vinilos_1",62,8,0.25,,
2023-05-04 00:00:00.000,"mayo","Vinilos_3",61,8,0.25,,
2023-04-28 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-28 00:00:00.000,"abril","Vinilos_4",26,8,0.25,,
2023-04-24 00:00:00.000,"abril","Vinilos_1",32,8,0.25,,
2023-04-24 00:00:00.000,"abril","Vinilos_3",58,8,0.25,,
2023-04-21 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-20 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-19 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-18 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-18 00:00:00.000,"abril","Vinilos_4",56,8,0.25,,
2023-04-18 00:00:00.000,"abril","Vinilos_4",53,8,0.25,,
2023-04-17 00:00:00.000,"abril","Vinilos_2",281,8,0.25,,
2023-04-17 00:00:00.000,"abril","Vinilos_2",218,8,0.25,,
2023-04-16 00:00:00.000,"abril","Vinilos_2",236,8,0.25,,
2023-04-14 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-14 00:00:00.000,"abril","Vinilos_3",59,8,0.25,,
2023-04-13 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-12 00:00:00.000,"abril","Vinilos_3",60,8,0.25,,
2023-04-11 00:00:00.000,"abril","Vinilos_3",52,8,0.25,,
2023-04-10 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2023-04-01 00:00:00.000,"abril","Vinilos_3",44,8,0.25,,
2023-03-29 00:00:00.000,"marzo","Vinilos_2",126,8,0.25,,
2023-03-28 00:00:00.000,"marzo","Vinilos_2",282,8,0.25,,
2023-03-27 00:00:00.000,"marzo","Vinilos_2",215,8,0.25,,
2023-03-23 00:00:00.000,"marzo","Vinilos_3",61,8,0.25,,
2023-03-22 00:00:00.000,"marzo","Vinilos_1",38,8,0.25,,
2023-03-22 00:00:00.000,"marzo","Vinilos_4",48,8,0.25,,
2023-03-21 00:00:00.000,"marzo","Vinilos_4",51,8,0.25,,
2023-03-20 00:00:00.000,"marzo","Vinilos_1",20,8,0.25,,
2023-03-19 00:00:00.000,"marzo","Vinilos_1",29,8,0.25,,
2023-03-18 00:00:00.000,"marzo","Vinilos_4",44,8,0.25,,
2023-03-17 00:00:00.000,"marzo","Vinilos_4",46,8,0.25,,
2023-03-16 00:00:00.000,"marzo","Vinilos_4",44,8,0.25,,
2023-03-16 00:00:00.000,"marzo","Vinilos_4",51,8,0.25,,
2023-03-15 00:00:00.000,"marzo","Vinilos_1",27,8,0.25,,
2023-03-15 00:00:00.000,"marzo","Vinilos_1",12,8,0.25,,
2023-03-15 00:00:00.000,"marzo","Vinilos_4",53,8,0.25,,
2023-03-15 00:00:00.000,"marzo","Vinilos_4",47,8,0.25,,
2023-03-14 00:00:00.000,"marzo","Vinilos_4",61,8,0.25,,
2023-03-14 00:00:00.000,"marzo","Vinilos_4",60,8,0.25,,
2023-03-14 00:00:00.000,"marzo","Vinilos_4",52,8,0.25,,
2023-03-13 00:00:00.000,"marzo","Vinilos_4",46,8,0.25,,
2023-03-13 00:00:00.000,"marzo","Vinilos_4",47,8,0.25,,
2023-03-10 00:00:00.000,"marzo","Vinilos_1",32,8,0.25,,
2023-03-10 00:00:00.000,"marzo","Vinilos_1",39,8,0.25,,
2023-03-07 00:00:00.000,"marzo","Vinilos_1",24,8,0.25,,
2023-03-01 00:00:00.000,"marzo","Vinilos_4",41,8,0.25,,
2023-01-31 00:00:00.000,"enero","Vinilos_3",48,8,0.25,,
2023-01-31 00:00:00.000,"enero","Vinilos_3",51,8,0.25,,
2023-01-30 00:00:00.000,"enero","Vinilos_3",54,8,0.25,,
2023-01-22 00:00:00.000,"enero","Vinilos_2",162,8,0.25,,
2023-01-22 00:00:00.000,"enero","Vinilos_4",72,8,0.25,,
2023-01-22 00:00:00.000,"enero","Vinilos_4",72,8,0.25,,
2023-01-21 00:00:00.000,"enero","Vinilos_4",89,8,0.25,,
2023-01-21 00:00:00.000,"enero","Vinilos_4",89,8,0.25,,
2023-01-20 00:00:00.000,"enero","Vinilos_4",89,8,0.25,,
2023-01-19 00:00:00.000,"enero","Vinilos_1",28,8,0.25,,
2023-01-19 00:00:00.000,"enero","Vinilos_4",87,8,0.25,,
2023-01-19 00:00:00.000,"enero","Vinilos_4",88,8,0.25,,
2023-01-19 00:00:00.000,"enero","Vinilos_4",83,8,0.25,,
2023-01-18 00:00:00.000,"enero","Vinilos_1",18,8,0.25,,
2023-01-18 00:00:00.000,"enero","Vinilos_3",27,8,0.25,,
2023-01-18 00:00:00.000,"enero","Vinilos_4",89,8,0.25,,
2023-01-17 00:00:00.000,"enero","Vinilos_1",84,8,0.25,,
2023-01-17 00:00:00.000,"enero","Vinilos_3",59,8,0.25,,
2023-01-17 00:00:00.000,"enero","Vinilos_4",84,8,0.25,,
2023-01-17 00:00:00.000,"enero","Vinilos_4",74,8,0.25,,
2023-01-16 00:00:00.000,"enero","Vinilos_1",21,8,0.25,,
2023-01-16 00:00:00.000,"enero","Vinilos_4",56,8,0.25,,
2023-01-15 00:00:00.000,"enero","Vinilos_1",27,8,0.25,,
2023-01-15 00:00:00.000,"enero","Vinilos_4",86,8,0.25,,
2023-01-14 00:00:00.000,"enero","Vinilos_4",81,8,0.25,,
2023-01-12 00:00:00.000,"enero","Vinilos_4",79,8,0.25,,
2023-01-11 00:00:00.000,"enero","Vinilos_3",56,8,0.25,,
2023-01-11 00:00:00.000,"enero","Vinilos_4",81,8,0.25,,
2023-01-10 00:00:00.000,"enero","Vinilos_1",91,8,0.25,,
2023-01-10 00:00:00.000,"enero","Vinilos_2",271,8,0.25,,
2023-01-10 00:00:00.000,"enero","Vinilos_4",46,8,0.25,,
2023-01-10 00:00:00.000,"enero","Vinilos_4",85,8,0.25,,
2023-01-09 00:00:00.000,"enero","Vinilos_2",161,8,0.25,,
2023-01-07 00:00:00.000,"enero","Vinilos_3",31,8,0.25,,
2023-01-06 00:00:00.000,"enero","Vinilos_1",108,8,0.25,,
2023-01-06 00:00:00.000,"enero","Vinilos_3",43,8,0.25,,
2023-01-06 00:00:00.000,"enero","Vinilos_4",85,8,0.25,,
2023-01-05 00:00:00.000,"enero","Vinilos_2",58,8,0.25,,
2023-01-05 00:00:00.000,"enero","Vinilos_3",65,8,0.25,,
2023-01-05 00:00:00.000,"enero","Vinilos_4",85,8,0.25,,
2023-01-03 00:00:00.000,"enero","Vinilos_2",84,8,0.25,,
2023-01-03 00:00:00.000,"enero","Vinilos_3",20,8,0.25,,
2023-01-03 00:00:00.000,"enero","Vinilos_4",85,8,0.25,,
2023-01-03 00:00:00.000,"enero","Vinilos_4",80,8,0.25,,
2022-12-22 00:00:00.000,"diciembre","Vinilos_4",57,8,0.25,,
2022-12-21 00:00:00.000,"diciembre","Vinilos_1",40,8,0.25,,
2022-12-21 00:00:00.000,"diciembre","Vinilos_2",168,8,0.25,,
2022-12-19 00:00:00.000,"diciembre","Vinilos_3",46,8,0.25,,
2022-12-17 00:00:00.000,"diciembre","Vinilos_3",64,8,0.25,,
2022-12-17 00:00:00.000,"diciembre","Vinilos_3",34,8,0.25,,
2022-12-16 00:00:00.000,"diciembre","Vinilos_1",36,8,0.25,,
2022-12-16 00:00:00.000,"diciembre","Vinilos_4",57,8,0.25,,
2022-12-15 00:00:00.000,"diciembre","Vinilos_1",42,8,0.25,,
